gnl|TC-DB|F8SVK1|2.A.1.6.11	gene479	60.000	25	10	0	295	319	284	308	0.028	32.7
gnl|TC-DB|F8SVK1|2.A.1.6.11	gene268	40.678	59	31	3	39	97	189	243	0.21	29.6
gnl|TC-DB|F8SVK1|2.A.1.6.11	gene337	20.000	85	53	2	196	265	47	131	3.3	25.8
gnl|TC-DB|F8SVK1|2.A.1.6.11	gene1300	28.866	97	57	3	72	168	58	142	4.0	25.8
gnl|TC-DB|F8SVK1|2.A.1.6.11	gene1707	30.769	52	29	2	21	72	38	82	6.3	25.0
gnl|TC-DB|O15375|2.A.1.13.11	gene1240	28.689	122	73	4	268	384	46	158	0.014	33.5
gnl|TC-DB|O15375|2.A.1.13.11	gene1271	32.911	79	42	3	139	217	24	91	0.41	28.5
gnl|TC-DB|O15375|2.A.1.13.11	gene1400	28.788	66	46	1	72	137	73	137	0.65	28.1
gnl|TC-DB|O15375|2.A.1.13.11	gene1040	33.333	30	20	0	438	467	150	179	1.1	27.3
gnl|TC-DB|O15375|2.A.1.13.11	gene321	36.000	25	16	0	149	173	311	335	4.6	25.4
gnl|TC-DB|O15403|2.A.1.13.15	gene704	25.210	119	87	2	62	179	47	164	0.39	28.9
gnl|TC-DB|O15403|2.A.1.13.15	gene704	23.158	190	123	9	323	505	42	215	0.43	28.5
gnl|TC-DB|O15403|2.A.1.13.15	gene1471	27.711	83	55	1	20	102	60	137	0.56	28.1
gnl|TC-DB|O15403|2.A.1.13.15	gene508	34.286	35	23	0	294	328	10	44	1.0	27.3
gnl|TC-DB|O15403|2.A.1.13.15	gene1377	29.091	55	33	2	388	442	73	121	1.4	26.9
gnl|TC-DB|O15403|2.A.1.13.15	gene1395	31.818	44	30	0	56	99	8	51	3.7	25.8
gnl|TC-DB|O15403|2.A.1.13.15	gene915	34.286	35	23	0	273	307	2	36	7.0	24.3
gnl|TC-DB|P25613|2.A.96.1.4	gene514	30.769	39	26	1	59	97	29	66	2.3	25.4
gnl|TC-DB|P25613|2.A.96.1.4	gene1539	55.556	18	8	0	257	274	185	202	4.8	24.3
gnl|TC-DB|P36021|2.A.1.13.10	gene539	34.286	70	45	1	413	482	102	170	0.14	30.4
gnl|TC-DB|P36021|2.A.1.13.10	gene1011	29.545	44	30	1	275	318	6	48	1.4	26.9
gnl|TC-DB|P36021|2.A.1.13.10	gene212	26.316	133	69	7	73	179	29	158	2.3	26.6
gnl|TC-DB|P36021|2.A.1.13.10	gene1731	26.050	119	65	4	418	528	82	185	3.7	25.4
