medium	description	compound	name
CD_X	Media + produced compounds in Compost and Digestate on Xylan	zn2	Zinc
CD_X	Media + produced compounds in Compost and Digestate on Xylan	ac	Acetate
CD_X	Media + produced compounds in Compost and Digestate on Xylan	mobd	Molybdate
CD_X	Media + produced compounds in Compost and Digestate on Xylan	h	H+
CD_X	Media + produced compounds in Compost and Digestate on Xylan	ura	Uracil
CD_X	Media + produced compounds in Compost and Digestate on Xylan	nac	Nicotinate
CD_X	Media + produced compounds in Compost and Digestate on Xylan	acald	Acetaldehyde
CD_X	Media + produced compounds in Compost and Digestate on Xylan	h2o	H2O H2O
CD_X	Media + produced compounds in Compost and Digestate on Xylan	gcald	Glycolaldehyde
CD_X	Media + produced compounds in Compost and Digestate on Xylan	btn	Biotin
CD_X	Media + produced compounds in Compost and Digestate on Xylan	xyl3	Xylotriose
CD_X	Media + produced compounds in Compost and Digestate on Xylan	fe2	Fe2+ mitochondria
CD_X	Media + produced compounds in Compost and Digestate on Xylan	fol	Folate
CD_X	Media + produced compounds in Compost and Digestate on Xylan	thm	Thiamin
CD_X	Media + produced compounds in Compost and Digestate on Xylan	so4	Sulfate
CD_X	Media + produced compounds in Compost and Digestate on Xylan	nh4	Ammonium
CD_X	Media + produced compounds in Compost and Digestate on Xylan	mg2	Magnesium
CD_X	Media + produced compounds in Compost and Digestate on Xylan	xyl__D	D-Xylose
CD_X	Media + produced compounds in Compost and Digestate on Xylan	fe3	Iron (Fe3+)
CD_X	Media + produced compounds in Compost and Digestate on Xylan	thym	Thymine C5H6N2O2
CD_X	Media + produced compounds in Compost and Digestate on Xylan	spmd	Spermidine
CD_X	Media + produced compounds in Compost and Digestate on Xylan	coa	Coenzyme A
CD_X	Media + produced compounds in Compost and Digestate on Xylan	fad	Flavin adenine dinucleotide oxidized
CD_X	Media + produced compounds in Compost and Digestate on Xylan	ni2	Nickel
CD_X	Media + produced compounds in Compost and Digestate on Xylan	pnto__R	(R)-Pantothenate
CD_X	Media + produced compounds in Compost and Digestate on Xylan	k	Potassium
CD_X	Media + produced compounds in Compost and Digestate on Xylan	mal__L	L-Malate
CD_X	Media + produced compounds in Compost and Digestate on Xylan	pydxn	Pyridoxine
CD_X	Media + produced compounds in Compost and Digestate on Xylan	na1	Sodium
CD_X	Media + produced compounds in Compost and Digestate on Xylan	ascb__L	L-Ascorbate
CD_X	Media + produced compounds in Compost and Digestate on Xylan	glyc	Glycerol
CD_X	Media + produced compounds in Compost and Digestate on Xylan	asp__D	D-Aspartate
CD_X	Media + produced compounds in Compost and Digestate on Xylan	ocdcea	Octadecenoate (n-C18:1)
CD_X	Media + produced compounds in Compost and Digestate on Xylan	xylan4	Xylan (4 backbone units, 1 glcur side chain)
CD_X	Media + produced compounds in Compost and Digestate on Xylan	mn2	Manganese
CD_X	Media + produced compounds in Compost and Digestate on Xylan	xylan8	Xylan (8 backbone units, 2 glcur side chain)
CM_A	Media + produced compounds in Cow manure on Avicel	5drib	5'-deoxyribose
CM_A	Media + produced compounds in Cow manure on Avicel	ribflv	Riboflavin C17H20N4O6
CM_A	Media + produced compounds in Cow manure on Avicel	cys__L	L-Cysteine
CM_A	Media + produced compounds in Cow manure on Avicel	cu2	Copper
CM_A	Media + produced compounds in Cow manure on Avicel	cellb	Cellobiose
CM_A	Media + produced compounds in Cow manure on Avicel	gua	Guanine
CM_A	Media + produced compounds in Cow manure on Avicel	pi	Phosphate
CM_A	Media + produced compounds in Cow manure on Avicel	4abz	4-Aminobenzoate
CM_A	Media + produced compounds in Cow manure on Avicel	ppap	Propanoyl phosphate
CM_A	Media + produced compounds in Cow manure on Avicel	cl	Chloride
CM_A	Media + produced compounds in Cow manure on Avicel	ca2	Calcium
CM_A	Media + produced compounds in Cow manure on Avicel	4abutn	4-Aminobutanal
CM_A	Media + produced compounds in Cow manure on Avicel	cobalt2	Co2+
CM_A	Media + produced compounds in Cow manure on Avicel	zn2	Zinc
CM_A	Media + produced compounds in Cow manure on Avicel	cell4	Cellulose (n=4 repeating units)
CM_A	Media + produced compounds in Cow manure on Avicel	ac	Acetate
CM_A	Media + produced compounds in Cow manure on Avicel	mobd	Molybdate
CM_A	Media + produced compounds in Cow manure on Avicel	h	H+
CM_A	Media + produced compounds in Cow manure on Avicel	ura	Uracil
CM_A	Media + produced compounds in Cow manure on Avicel	nac	Nicotinate
CM_A	Media + produced compounds in Cow manure on Avicel	acald	Acetaldehyde
CM_A	Media + produced compounds in Cow manure on Avicel	h2o	H2O H2O
CM_A	Media + produced compounds in Cow manure on Avicel	cell5	Cellulose (n=5 repeating units)
CM_A	Media + produced compounds in Cow manure on Avicel	ibt	Isobutyrate
CM_A	Media + produced compounds in Cow manure on Avicel	gcald	Glycolaldehyde
CM_A	Media + produced compounds in Cow manure on Avicel	succ	Succinate
CM_A	Media + produced compounds in Cow manure on Avicel	btn	Biotin
CM_A	Media + produced compounds in Cow manure on Avicel	glc__D	D-Glucose
CM_A	Media + produced compounds in Cow manure on Avicel	pacald	Phenylacetaldehyde
CM_A	Media + produced compounds in Cow manure on Avicel	12ppd__R	(R)-Propane-1,2-diol
CM_A	Media + produced compounds in Cow manure on Avicel	pheme	Protoheme C34H30FeN4O4
CM_A	Media + produced compounds in Cow manure on Avicel	fe2	Fe2+ mitochondria
CM_A	Media + produced compounds in Cow manure on Avicel	man1p	D-Mannose 1-phosphate
CM_A	Media + produced compounds in Cow manure on Avicel	4hba	4-Hydroxy-benzyl alcohol
CM_A	Media + produced compounds in Cow manure on Avicel	lac__L	L-Lactate
CM_A	Media + produced compounds in Cow manure on Avicel	g6p_B	Beta D glucose 6 phosphate C6H11O9P
CM_A	Media + produced compounds in Cow manure on Avicel	fol	Folate
CM_A	Media + produced compounds in Cow manure on Avicel	cell3	Cellulose (n=3 repeating units)
CM_A	Media + produced compounds in Cow manure on Avicel	thm	Thiamin
CM_A	Media + produced compounds in Cow manure on Avicel	so4	Sulfate
CM_A	Media + produced compounds in Cow manure on Avicel	nh4	Ammonium
CM_A	Media + produced compounds in Cow manure on Avicel	mg2	Magnesium
CM_A	Media + produced compounds in Cow manure on Avicel	hom__L	L-Homoserine
CM_A	Media + produced compounds in Cow manure on Avicel	cit	Citrate
CM_A	Media + produced compounds in Cow manure on Avicel	fe3	Iron (Fe3+)
CM_A	Media + produced compounds in Cow manure on Avicel	thym	Thymine C5H6N2O2
CM_A	Media + produced compounds in Cow manure on Avicel	spmd	Spermidine
CM_A	Media + produced compounds in Cow manure on Avicel	indole	Indole
CM_A	Media + produced compounds in Cow manure on Avicel	urea	Urea CH4N2O
CM_A	Media + produced compounds in Cow manure on Avicel	bz	Benzoate
CM_A	Media + produced compounds in Cow manure on Avicel	coa	Coenzyme A
CM_A	Media + produced compounds in Cow manure on Avicel	fad	Flavin adenine dinucleotide oxidized
CM_A	Media + produced compounds in Cow manure on Avicel	ncam	Nicotinamide
CM_A	Media + produced compounds in Cow manure on Avicel	ni2	Nickel
CM_A	Media + produced compounds in Cow manure on Avicel	pnto__R	(R)-Pantothenate
CM_A	Media + produced compounds in Cow manure on Avicel	k	Potassium
CM_A	Media + produced compounds in Cow manure on Avicel	etha	Ethanolamine
CM_A	Media + produced compounds in Cow manure on Avicel	tol	Toluene
CM_A	Media + produced compounds in Cow manure on Avicel	mal__L	L-Malate
CM_A	Media + produced compounds in Cow manure on Avicel	actn__R	 R  Acetoin C4H8O2
CM_A	Media + produced compounds in Cow manure on Avicel	pydxn	Pyridoxine
CM_A	Media + produced compounds in Cow manure on Avicel	2obut	2-Oxobutanoate
CM_A	Media + produced compounds in Cow manure on Avicel	na1	Sodium
CM_A	Media + produced compounds in Cow manure on Avicel	ascb__L	L-Ascorbate
CM_A	Media + produced compounds in Cow manure on Avicel	ala__D	D-Alanine
CM_A	Media + produced compounds in Cow manure on Avicel	asp__D	D-Aspartate
CM_A	Media + produced compounds in Cow manure on Avicel	ocdcea	Octadecenoate (n-C18:1)
CM_A	Media + produced compounds in Cow manure on Avicel	mn2	Manganese
CM_A	Media + produced compounds in Cow manure on Avicel	ch4s	Methanethiol CH4S
CM_P	Media + produced compounds in Cow manure on PASC	5drib	5'-deoxyribose
CM_P	Media + produced compounds in Cow manure on PASC	12ppd__S	(S)-Propane-1,2-diol
CM_P	Media + produced compounds in Cow manure on PASC	ribflv	Riboflavin C17H20N4O6
CM_P	Media + produced compounds in Cow manure on PASC	cu2	Copper
CM_P	Media + produced compounds in Cow manure on PASC	cys__L	L-Cysteine
CM_P	Media + produced compounds in Cow manure on PASC	gua	Guanine
CM_P	Media + produced compounds in Cow manure on PASC	pi	Phosphate
CM_P	Media + produced compounds in Cow manure on PASC	4abz	4-Aminobenzoate
CM_P	Media + produced compounds in Cow manure on PASC	cellb	Cellobiose
CM_P	Media + produced compounds in Cow manure on PASC	ppap	Propanoyl phosphate
CM_P	Media + produced compounds in Cow manure on PASC	oxa	Oxalate
CM_P	Media + produced compounds in Cow manure on PASC	cl	Chloride
CM_P	Media + produced compounds in Cow manure on PASC	lys__L	L-Lysine
CM_P	Media + produced compounds in Cow manure on PASC	4abutn	4-Aminobutanal
CM_P	Media + produced compounds in Cow manure on PASC	ca2	Calcium
CM_P	Media + produced compounds in Cow manure on PASC	zn2	Zinc
CM_P	Media + produced compounds in Cow manure on PASC	cobalt2	Co2+
CM_P	Media + produced compounds in Cow manure on PASC	cell4	Cellulose (n=4 repeating units)
CM_P	Media + produced compounds in Cow manure on PASC	ac	Acetate
CM_P	Media + produced compounds in Cow manure on PASC	mobd	Molybdate
CM_P	Media + produced compounds in Cow manure on PASC	h	H+
CM_P	Media + produced compounds in Cow manure on PASC	for	Formate
CM_P	Media + produced compounds in Cow manure on PASC	ura	Uracil
CM_P	Media + produced compounds in Cow manure on PASC	nac	Nicotinate
CM_P	Media + produced compounds in Cow manure on PASC	acald	Acetaldehyde
CM_P	Media + produced compounds in Cow manure on PASC	fald	Formaldehyde
CM_P	Media + produced compounds in Cow manure on PASC	h2o	H2O H2O
CM_P	Media + produced compounds in Cow manure on PASC	ibt	Isobutyrate
CM_P	Media + produced compounds in Cow manure on PASC	cell5	Cellulose (n=5 repeating units)
CM_P	Media + produced compounds in Cow manure on PASC	gcald	Glycolaldehyde
CM_P	Media + produced compounds in Cow manure on PASC	btn	Biotin
CM_P	Media + produced compounds in Cow manure on PASC	glc__D	D-Glucose
CM_P	Media + produced compounds in Cow manure on PASC	pheme	Protoheme C34H30FeN4O4
CM_P	Media + produced compounds in Cow manure on PASC	fe2	Fe2+ mitochondria
CM_P	Media + produced compounds in Cow manure on PASC	4hba	4-Hydroxy-benzyl alcohol
CM_P	Media + produced compounds in Cow manure on PASC	lac__L	L-Lactate
CM_P	Media + produced compounds in Cow manure on PASC	fol	Folate
CM_P	Media + produced compounds in Cow manure on PASC	cell3	Cellulose (n=3 repeating units)
CM_P	Media + produced compounds in Cow manure on PASC	thm	Thiamin
CM_P	Media + produced compounds in Cow manure on PASC	so4	Sulfate
CM_P	Media + produced compounds in Cow manure on PASC	dhptd	4,5-dihydroxy-2,3-pentanedione
CM_P	Media + produced compounds in Cow manure on PASC	nh4	Ammonium
CM_P	Media + produced compounds in Cow manure on PASC	mg2	Magnesium
CM_P	Media + produced compounds in Cow manure on PASC	fmn	FMN C17H19N4O9P
CM_P	Media + produced compounds in Cow manure on PASC	fe3	Iron (Fe3+)
CM_P	Media + produced compounds in Cow manure on PASC	thym	Thymine C5H6N2O2
CM_P	Media + produced compounds in Cow manure on PASC	spmd	Spermidine
CM_P	Media + produced compounds in Cow manure on PASC	indole	Indole
CM_P	Media + produced compounds in Cow manure on PASC	urea	Urea CH4N2O
CM_P	Media + produced compounds in Cow manure on PASC	bz	Benzoate
CM_P	Media + produced compounds in Cow manure on PASC	meoh	Methanol
CM_P	Media + produced compounds in Cow manure on PASC	coa	Coenzyme A
CM_P	Media + produced compounds in Cow manure on PASC	fad	Flavin adenine dinucleotide oxidized
CM_P	Media + produced compounds in Cow manure on PASC	pnto__R	(R)-Pantothenate
CM_P	Media + produced compounds in Cow manure on PASC	ni2	Nickel
CM_P	Media + produced compounds in Cow manure on PASC	k	Potassium
CM_P	Media + produced compounds in Cow manure on PASC	etha	Ethanolamine
CM_P	Media + produced compounds in Cow manure on PASC	mal__L	L-Malate
CM_P	Media + produced compounds in Cow manure on PASC	actn__R	 R  Acetoin C4H8O2
CM_P	Media + produced compounds in Cow manure on PASC	pydxn	Pyridoxine
CM_P	Media + produced compounds in Cow manure on PASC	na1	Sodium
CM_P	Media + produced compounds in Cow manure on PASC	ascb__L	L-Ascorbate
CM_P	Media + produced compounds in Cow manure on PASC	glyc	Glycerol
CM_P	Media + produced compounds in Cow manure on PASC	15dap	1,5-Diaminopentane
CM_P	Media + produced compounds in Cow manure on PASC	ala__D	D-Alanine
CM_P	Media + produced compounds in Cow manure on PASC	g3pe	Sn-Glycero-3-phosphoethanolamine
CM_P	Media + produced compounds in Cow manure on PASC	ocdcea	Octadecenoate (n-C18:1)
CM_P	Media + produced compounds in Cow manure on PASC	mn2	Manganese
CM_P	Media + produced compounds in Cow manure on PASC	ch4s	Methanethiol CH4S
CM_X	Media + produced compounds in Cow manure on Xylan	ribflv	Riboflavin C17H20N4O6
CM_X	Media + produced compounds in Cow manure on Xylan	cys__L	L-Cysteine
CM_X	Media + produced compounds in Cow manure on Xylan	cu2	Copper
CM_X	Media + produced compounds in Cow manure on Xylan	pi	Phosphate
CM_X	Media + produced compounds in Cow manure on Xylan	4abz	4-Aminobenzoate
CM_X	Media + produced compounds in Cow manure on Xylan	xylb	Xylobiose
CM_X	Media + produced compounds in Cow manure on Xylan	cl	Chloride
CM_X	Media + produced compounds in Cow manure on Xylan	ca2	Calcium
CM_X	Media + produced compounds in Cow manure on Xylan	cobalt2	Co2+
CM_X	Media + produced compounds in Cow manure on Xylan	zn2	Zinc
CM_X	Media + produced compounds in Cow manure on Xylan	mobd	Molybdate
CM_X	Media + produced compounds in Cow manure on Xylan	h	H+
CM_X	Media + produced compounds in Cow manure on Xylan	nac	Nicotinate
CM_X	Media + produced compounds in Cow manure on Xylan	h2o	H2O H2O
CM_X	Media + produced compounds in Cow manure on Xylan	btn	Biotin
CM_X	Media + produced compounds in Cow manure on Xylan	xyl3	Xylotriose
CM_X	Media + produced compounds in Cow manure on Xylan	fe2	Fe2+ mitochondria
CM_X	Media + produced compounds in Cow manure on Xylan	fol	Folate
CM_X	Media + produced compounds in Cow manure on Xylan	so4	Sulfate
CM_X	Media + produced compounds in Cow manure on Xylan	thm	Thiamin
CM_X	Media + produced compounds in Cow manure on Xylan	nh4	Ammonium
CM_X	Media + produced compounds in Cow manure on Xylan	mg2	Magnesium
CM_X	Media + produced compounds in Cow manure on Xylan	xyl__D	D-Xylose
CM_X	Media + produced compounds in Cow manure on Xylan	fe3	Iron (Fe3+)
CM_X	Media + produced compounds in Cow manure on Xylan	ni2	Nickel
CM_X	Media + produced compounds in Cow manure on Xylan	pnto__R	(R)-Pantothenate
CM_X	Media + produced compounds in Cow manure on Xylan	k	Potassium
CM_X	Media + produced compounds in Cow manure on Xylan	pydxn	Pyridoxine
CM_X	Media + produced compounds in Cow manure on Xylan	na1	Sodium
CM_X	Media + produced compounds in Cow manure on Xylan	ascb__L	L-Ascorbate
CM_X	Media + produced compounds in Cow manure on Xylan	xylan4	Xylan (4 backbone units, 1 glcur side chain)
CM_X	Media + produced compounds in Cow manure on Xylan	mn2	Manganese
CM_X	Media + produced compounds in Cow manure on Xylan	xylan8	Xylan (8 backbone units, 2 glcur side chain)
M_P	Media + produced compounds in Marshland soil on PASC	5drib	5'-deoxyribose
M_P	Media + produced compounds in Marshland soil on PASC	cellb	Cellobiose
M_P	Media + produced compounds in Marshland soil on PASC	gua	Guanine
M_P	Media + produced compounds in Marshland soil on PASC	cl	Chloride
M_P	Media + produced compounds in Marshland soil on PASC	ca2	Calcium
M_P	Media + produced compounds in Marshland soil on PASC	cobalt2	Co2+
M_P	Media + produced compounds in Marshland soil on PASC	zn2	Zinc
M_P	Media + produced compounds in Marshland soil on PASC	cell4	Cellulose (n=4 repeating units)
M_P	Media + produced compounds in Marshland soil on PASC	h2o	H2O H2O
M_P	Media + produced compounds in Marshland soil on PASC	gcald	Glycolaldehyde
M_P	Media + produced compounds in Marshland soil on PASC	btn	Biotin
M_P	Media + produced compounds in Marshland soil on PASC	dhptd	4,5-dihydroxy-2,3-pentanedione
M_P	Media + produced compounds in Marshland soil on PASC	ncam	Nicotinamide
M_P	Media + produced compounds in Marshland soil on PASC	indole	Indole
