	chebi id	chebi class	self defined super class
M_so4_e	CHEBI:24835	inorganic ion	inorganic ions and atoms
M_srb__L_e	CHEBI:35381	monosaccharide	simple sugars
M_starch_e	CHEBI:37163	glucan (undefined)	oligosaccharides
M_sucr_e	CHEBI:36233	disaccharide	simple sugars
M_sula_e	CHEBI:33576	sulfur-containing carboxylic acid	carboxylic acids and anions
M_sulfac_e	CHEBI:33576	sulfur-containing carboxylic acid	carboxylic acids and anions
M_tag__D_e	CHEBI:35381	monosaccharide	simple sugars
M_tagur_e	CHEBI:33720	carbohydrate acid	carbohydrate derivatives
M_tartr__D_e	CHEBI:33720	carbohydrate acid	carbohydrate derivatives
M_tartr__L_e	CHEBI:33720	carbohydrate acid	carbohydrate derivatives
M_tet_e	CHEBI:24835	inorganic ion	inorganic ions and atoms
M_thm_e	CHEBI:39447	pyrimidines	nucleotides and derivatives
M_thr__L_e	CHEBI:33709	amino acid	amino acids and derivatives
M_thrp_e	CHEBI:83821	amino acid derivative	amino acids and derivatives
M_thym_e	CHEBI:39447	pyrimidines	nucleotides and derivatives
M_thymd_e	CHEBI:33838	nucleoside	nucleotides and derivatives
M_tol_e	CHEBI:27024	toluenes	aromatic compounds
M_tre_e	CHEBI:36233	disaccharide	simple sugars
M_trp__L_e	CHEBI:33709	amino acid	amino acids and derivatives
M_tsul_e	CHEBI:24835	inorganic ion	inorganic ions and atoms
M_tton_e	CHEBI:24835	inorganic ion	inorganic ions and atoms
M_ttrcyc_e	CHEBI:26188	polyketide	other
M_tym_e	CHEBI:33853	phenols	aromatic compounds
M_tyr__D_e	CHEBI:33709	amino acid	amino acids and derivatives
M_tyr__L_e	CHEBI:33709	amino acid	amino acids and derivatives
M_tyrp_e	CHEBI:83821	amino acid derivative	amino acids and derivatives
M_uaccg_e	CHEBI:25608	nucleoside phosphate	nucleotides and derivatives
